Production Plan ID,Year,Planning Season,Season,Item Brand,Business Unit,Item Code,Item Name,Main Sample Code,Main Sample Name,Supplier Raw Material Code,Supplier Raw Material Name,Vendor Code,Vendor Name,Management Factory Code,Management Factory Name,Branch Factory Code,Branch Factory Name,Raw Material Supplier Code,Raw Material Supplier Name,Sewing Difficulty,Department Code,Department Name,Class1 Code,Class1 Name,,Production Plan Type Name,Month Week Flag,Last Update Date,Requested Wh Date,Contracted Date,Transport Method Name,Logistics Type Name,Exf,Order Qty Pcs,Yarn Order Acceptance,Yarn Order Request Date,Yarn Order Answer Date,Yarn Order Actual Date,Yarn Order NO,Yarn Actual Order Qty Pcs,Yarn Update Date,Fabric Order Acceptance,Fabric Order Request Date,Fabric Order Answer Date,Fabric Order Actual Date,Fabric Order NO,Fabric Actual Order Qty Pcs,Fabric Update Date,Color Order Acceptance,Color Order Request Date,Color Order Answer Date,Color Order Actual Date,Color Order NO,Color Actual Order Qty Pcs,Color Update Date,Trim Order Acceptance,Trim Order Request Date,Trim Order Answer Date,Trim Order Actual Date,Trim Order NO,Trim Actual Order Qty Pcs,Trim Update Date,PO Order Acceptance,PO Order Request Date,PO Order Answer Date,PO Order Actual Date,PO Order NO,PO Actual Order Qty Pcs,PO Update Date,Order Qty Pcs (Old),Transport Method Name (Old),Logistics Type Name (Old),Yarn Order Request Date (Old),Fabric Order Request Date (Old),Color Order Request Date (Old),Trim Order Request Date (Old),PO Order Request Date (Old),Status,Display Month WK,Display Month WK Column,Group Cd,2023/07;2023/07/03WK;2023/07/10WK;2023/07/17WK;2023/07/24WK;2023/07/31WK;2023/08;2023/08/07WK;2023/08/14WK;2023/08/21WK;2023/08/28WK;2023/09;2023/09/04WK;2023/09/11WK;2023/09/18WK;2023/09/25WK;2023/10;2023/10/02WK;2023/10/09WK;2023/10/16WK;2023/10/23WK;2023/10/30WK;2023/11;2023/11/06WK;2023/11/13WK;2023/11/20WK;2023/11/27WK;2023/12;2023/12/04WK;2023/12/11WK;2023/12/18WK;2023/12/25WK;2024/01;2024/01/01WK;2024/01/08WK;2024/01/15WK;2024/01/22WK;2024/01/29WK;2024/02;2024/02/05WK;2024/02/12WK;2024/02/19WK;2024/02/26WK;2024/03;2024/03/04WK;2024/03/11WK;2024/03/18WK;2024/03/25WK;2024/04;2024/04/01WK;2024/04/08WK;2024/04/15WK;2024/04/22WK;2024/04/29WK;2024/05;2024/05/06WK;2024/05/13WK;2024/05/20WK;2024/05/27WK;2024/06;2024/06/03WK;2024/06/10WK;2024/06/17WK;2024/06/24WK;2024/07;2024/07/01WK;2024/07/08WK;2024/07/15WK;2024/07/22WK;2024/07/29WK;2024/08;2024/08/05WK;2024/08/12WK;2024/08/19WK;2024/08/26WK;2024/09;2024/09/02WK;2024/09/09WK;2024/09/16WK;2024/09/23WK;2024/09/30WK;2024/10;2024/10/07WK;2024/10/14WK;2024/10/21WK;2024/10/28WK;2024/11;2024/11/04WK;2024/11/11WK;2024/11/18WK;2024/11/25WK;2024/12;2024/12/02WK;2024/12/09WK;2024/12/16WK;2024/12/23WK;2024/12/30WK,Show Color Flag,Order Qty Coeff,Factory Comment,Factory Comment Update Date,FR Fabric Code,FR Fabric Name,Ph1 (First) Discrimination Flag (Old),Ph1 (First) Discrimination Flag,Order Timing Display Value (Old),Order Timing Display Value,Express Line Flag (Old),Express Line Flag,Manual Lock Flag (Old),Manual Lock Flag,Ph1 (First) Discrimination Flag (Now),Order Timing Display Value (Now),Express Line Flag (Now),Manual Lock Flag (Now),Requested Wh Date(Old),EXF,(Color) Recommend,(Trim) Recommend,(PO)Recommend,BD-EXF DL Setting LT(Before Cal),PO-EXF DL Setting LT(Before Cal),Material Supplier Holiday Excluding,Sewing FTY Holiday Excluding,BD-EXF DL Setting LT,PO-EXF DL Setting LT,BD-EXF Registered LT,PO-EXF Registered LT,BD-EXF(total) Abnormal LT,PO-EXF(total) Abnormal LT,Abnormal LT Reason BD1,Abnormal LT Reason BD2,Abnormal LT Reason BD3,Abnormal LT Reason BD4,Abnormal LT Reason BD5,Abnormal LT BD1,Abnormal LT BD2,Abnormal LT BD3,Abnormal LT BD4,Abnormal LT BD5,Abnormal LT Reason PO1,Abnormal LT Reason PO2,Abnormal LT Reason PO3,Abnormal LT Reason PO4,Abnormal LT Reason PO5,Abnormal LT PO1,Abnormal LT PO2,Abnormal LT PO3,Abnormal LT PO4,Abnormal LT PO5
86180402,2024,SS,Su,UNIQLO,UQEU,467053,W's cotton easy shorts (striped) shorter length,07274N156B,W's cotton easy shorts (striped) (OS length),A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,1,2,Women,7,inner & living,,Ph3(Adj),0,7/4/2023,6/7/2024,5/5/2024,Ship,,4/28/2024,1300,N,,,,,,53:32.3,N,,,,,,53:32.3,N,,,,,,53:32.3,N,,,,,,53:32.3,N,,,,,,53:32.3,,,,,,,,,1,2024/04/22WK,52,10;364,,1,1300,,53:32.3,WOV0017564,W's Cotton ankle pant,,N,,2nd,,N,,N,N,2nd,N,N,,4/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86057259,2024,SS,Su,UNIQLO,UQEU,463866,Chino shorts (8.5),07324N001D,Chino shorts (8.5),PJL_DEV-4266_2022,Fabric,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,6,3,Men,2,bottoms,,Ph3(Adj),0,6/29/2023,6/7/2024,5/5/2024,Ship,,4/28/2024,38000,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,,,,,,,,,2,2024/04/22WK,52,11;373,,2,228000,,38:06.2,WOV0010889,Fabric,,,7th,6th,,,,,N,6th,N,N,,4/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86170381,2024,SS,Sp,UNIQLO,UQMY,466745,Woven london striped trunks,27374H078C,Woven london striped trunks,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph3(Stk),0,6/29/2023,5/19/2024,5/5/2024,Ship,,4/28/2024,1500,N,,,,,,11:50.0,N,,,,,,11:50.0,N,,,,,,11:50.0,N,,,,,,11:50.0,N,,,,,,11:50.0,,,,,,,,,1,2024/04/22WK,52,31;150,,1,3450,,11:50.0,WOV0016099,Mens Trunk -Yarn Dyed,,N,,12th,,N,,N,N,12th,N,N,,4/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85711654,2024,SS,Sp,UNIQLO,UQIN,466026,W's cotton relaxed ankle pants (solid),36274H018D,W's cotton relaxed ankle pants,A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,2.5,2,Women,7,inner & living,,Ph3(Adj),0,6/29/2023,5/5/2024,5/5/2024,Ship,,4/28/2024,5000,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,N,,,,,,38:06.2,3000,,,,,,,,2,2024/04/22WK,52,42;37,,2,12500,,38:06.2,WOV0017564,W's Cotton ankle pant,,,8th-2,5th-2,,,,,N,5th-2,N,Y,,4/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85768225,2024,SS,Su,UNIQLO,UQTW,464822,Dry stretch easy shorts,10374N071B,Dry stretch easy shorts,A130E202,Dry stretch easy shorts,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,3.9,3,Men,7,inner & living,,Ph3(Adj),0,6/13/2023,6/12/2024,5/8/2024,Ship,,5/1/2024,8000,N,,,,,,02:27.3,N,,,,,,02:27.3,N,,,,,,02:27.3,N,,,,,,02:27.3,N,,,,,,02:27.3,,,,,,,,,2,2024/04/29WK,53,24;403,,0,31200,,02:27.3,WOV0017456,Dry stretch easy shorts,,,10th,11th,,,,,N,11th,N,Y,,5/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85768260,2024,SS,Su,UNIQLO,UQEU,464822,Dry stretch easy shorts,07374N071B,Dry stretch easy shorts,A130E202,Dry stretch easy shorts,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,3.9,3,Men,7,inner & living,,Ph3(Adj),0,6/15/2023,6/12/2024,5/10/2024,Ship,,5/3/2024,10000,N,,,,,,28:58.2,N,,,,,,28:58.2,N,,,,,,28:58.2,N,,,,,,28:58.2,N,,,,,,28:58.2,,,,,,,,,2,2024/04/29WK,53,13;390,,0,39000,,28:58.2,WOV0017456,Dry stretch easy shorts,,,8th-1,8th,,,,,N,8th,N,Y,,5/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85733809,2024,SS,Sp,UNIQLO,UQTW,466750,Woven printed trunks,10374H083C,Woven printed trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph3(Adj),0,7/4/2023,6/15/2024,5/11/2024,Ship,,5/4/2024,3000,N,,,,,,25:52.2,N,,,,,,25:52.2,N,,,,,,25:52.2,N,,,,,,25:52.2,N,,,,,,25:52.2,,,,,,,,,2,2024/04/01WK,49,23;300,,2,6900,,25:52.2,WOV0010806,POPLIN,,,9th,9th-1,,,,,N,9th-1,N,Y,,5/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85555346,2024,SS,Su,UNIQLO,UQJP,466675,STETECO (pint) A,01374N079A,STETECO (patterned B),,,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],,,3,3,Men,7,inner & living,,Ph3(Adj),0,6/27/2023,6/12/2024,5/12/2024,Ship,ADC,5/5/2024,20000,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,,,,,,,,,2,2024/04/29WK,53,4;448,,0,60000,,54:41.1,,,,,13th,13th-1,,,,,N,13th-1,N,Y,,5/5/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86190934,2024,SS,Su,UNIQLO,UQTW,464822,Dry stretch easy shorts,10374N071B,Dry stretch easy shorts,A130E202,Dry stretch easy shorts,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,3.9,3,Men,7,inner & living,,Ph3(Adj),0,7/4/2023,6/16/2024,5/12/2024,Ship,,5/5/2024,4500,N,,,,,,25:58.4,N,,,,,,25:58.4,N,,,,,,25:58.4,N,,,,,,25:58.4,N,,,,,,25:58.4,,,,,,,,,1,2024/04/29WK,53,24;404,,1,17550,,25:58.4,WOV0017456,Dry stretch easy shorts,,N,,12th,,N,,N,N,12th,N,N,,5/5/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86137697,2024,SS,Su,UNIQLO,UQIN,464832,W's ultra stretch cropped denim leggings pants,36224N073B,W's ultra stretch high rise cropped denim leggings pants INDIGO,,,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],,,1,2,Women,2,bottoms,,Ph3(Adj),0,6/27/2023,5/12/2024,5/12/2024,Ship,,5/5/2024,240,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,N,,,,,,54:41.1,,,,,,,,,1,2024/04/29WK,53,56;328,,0,240,,54:41.1,,,,N,,8th,,N,,N,N,8th,N,N,,5/5/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
