Production Plan ID,Year,Planning Season,Season,Item Brand,Business Unit,Item Code,Item Name,Main Sample Code,Main Sample Name,Supplier Raw Material Code,Supplier Raw Material Name,Vendor Code,Vendor Name,Management Factory Code,Management Factory Name,Branch Factory Code,Branch Factory Name,Raw Material Supplier Code,Raw Material Supplier Name,Sewing Difficulty,Department Code,Department Name,Class1 Code,Class1 Name,Production Plan Type Name,Month Week Flag,Last Update Date,Requested Wh Date,Contracted Date,Transport Method Name,Logistics Type Name,Order Qty Pcs,Yarn Order Acceptance,Yarn Order Request Date,Yarn Order Answer Date,Yarn Order Actual Date,Yarn Order NO,Yarn Actual Order Qty Pcs,Yarn Update Date,Fabric Order Acceptance,Fabric Order Request Date,Fabric Order Answer Date,Fabric Order Actual Date,Fabric Order NO,Fabric Actual Order Qty Pcs,Fabric Update Date,Color Order Acceptance,Color Order Request Date,Color Order Answer Date,Color Order Actual Date,Color Order NO,Color Actual Order Qty Pcs,Color Update Date,Trim Order Acceptance,Trim Order Request Date,Trim Order Answer Date,Trim Order Actual Date,Trim Order NO,Trim Actual Order Qty Pcs,Trim Update Date,PO Order Acceptance,PO Order Request Date,PO Order Answer Date,PO Order Actual Date,PO Order NO,PO Actual Order Qty Pcs,PO Update Date,Order Qty Pcs (Old),Transport Method Name (Old),Logistics Type Name (Old),Yarn Order Request Date (Old),Fabric Order Request Date (Old),Color Order Request Date (Old),Trim Order Request Date (Old),PO Order Request Date (Old),Status,Display Month WK,Display Month WK Column,Group Cd,2023/07;2023/07/03WK;2023/07/10WK;2023/07/17WK;2023/07/24WK;2023/07/31WK;2023/08;2023/08/07WK;2023/08/14WK;2023/08/21WK;2023/08/28WK;2023/09;2023/09/04WK;2023/09/11WK;2023/09/18WK;2023/09/25WK;2023/10;2023/10/02WK;2023/10/09WK;2023/10/16WK;2023/10/23WK;2023/10/30WK;2023/11;2023/11/06WK;2023/11/13WK;2023/11/20WK;2023/11/27WK;2023/12;2023/12/04WK;2023/12/11WK;2023/12/18WK;2023/12/25WK;2024/01;2024/01/01WK;2024/01/08WK;2024/01/15WK;2024/01/22WK;2024/01/29WK;2024/02;2024/02/05WK;2024/02/12WK;2024/02/19WK;2024/02/26WK;2024/03;2024/03/04WK;2024/03/11WK;2024/03/18WK;2024/03/25WK;2024/04;2024/04/01WK;2024/04/08WK;2024/04/15WK;2024/04/22WK;2024/04/29WK;2024/05;2024/05/06WK;2024/05/13WK;2024/05/20WK;2024/05/27WK;2024/06;2024/06/03WK;2024/06/10WK;2024/06/17WK;2024/06/24WK;2024/07;2024/07/01WK;2024/07/08WK;2024/07/15WK;2024/07/22WK;2024/07/29WK;2024/08;2024/08/05WK;2024/08/12WK;2024/08/19WK;2024/08/26WK;2024/09;2024/09/02WK;2024/09/09WK;2024/09/16WK;2024/09/23WK;2024/09/30WK;2024/10;2024/10/07WK;2024/10/14WK;2024/10/21WK;2024/10/28WK;2024/11;2024/11/04WK;2024/11/11WK;2024/11/18WK;2024/11/25WK;2024/12;2024/12/02WK;2024/12/09WK;2024/12/16WK;2024/12/23WK;2024/12/30WK,Show Color Flag,Order Qty Coeff,Factory Comment,Factory Comment Update Date,FR Fabric Code,FR Fabric Name,Ph1 (First) Discrimination Flag (Old),Ph1 (First) Discrimination Flag,Order Timing Display Value (Old),Order Timing Display Value,Express Line Flag (Old),Express Line Flag,Manual Lock Flag (Old),Manual Lock Flag,Ph1 (First) Discrimination Flag (Now),Order Timing Display Value (Now),Express Line Flag (Now),Manual Lock Flag (Now),Requested Wh Date(Old),EXF,(Color) Recommend,(Trim) Recommend,(PO)Recommend,BD-EXF DL Setting LT(Before Cal),PO-EXF DL Setting LT(Before Cal),Material Supplier Holiday Excluding,Sewing FTY Holiday Excluding,BD-EXF DL Setting LT,PO-EXF DL Setting LT,BD-EXF Registered LT,PO-EXF Registered LT,BD-EXF(total) Abnormal LT,PO-EXF(total) Abnormal LT,Abnormal LT Reason BD1,Abnormal LT Reason BD2,Abnormal LT Reason BD3,Abnormal LT Reason BD4,Abnormal LT Reason BD5,Abnormal LT BD1,Abnormal LT BD2,Abnormal LT BD3,Abnormal LT BD4,Abnormal LT BD5,Abnormal LT Reason PO1,Abnormal LT Reason PO2,Abnormal LT Reason PO3,Abnormal LT Reason PO4,Abnormal LT Reason PO5,Abnormal LT PO1,Abnormal LT PO2,Abnormal LT PO3,Abnormal LT PO4,Abnormal LT PO5
85734313,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,3/15/2024,2/9/2024,Ship,,2000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2024/02/05WK,39,20;178,,0,4600,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,N,,8th,,N,,Y,N,8th,N,Y,,2/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734312,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,6/1/2023,2/15/2024,1/11/2024,Ship,,2000,N,,,,,,15:53.3,N,,,,,,15:53.3,N,,,,,,15:53.3,N,,,,,,15:53.3,N,,,,,,15:53.3,,,,,,,,,2,2024/01/01WK,33,20;176,,2,4600,,15:53.3,WOV0016099,Mens Trunk -Yarn Dyed,,,6th-1,6th,,,,,N,6th,N,Y,,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734311,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,1/15/2024,12/11/2023,Ship,,2000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2023/12/04WK,28,20;174,,0,4600,,23:31.3,WOV0016099,Mens Trunk -Yarn Dyed,,,5th,5th-1,,,,,N,5th-1,N,Y,,12/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734310,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,6/6/2023,1/2/2024,11/28/2023,Ship,,2000,N,,,,,,29:22.5,N,,,,,,29:22.5,N,,,,,,29:22.5,N,,,,,,29:22.5,N,,,,,,29:22.5,,,,,,,,,2,2023/11/06WK,23,20;173,,2,4600,,29:22.5,WOV0016099,Mens Trunk -Yarn Dyed,,,,,,,,,N,4th,N,Y,12/30/2023,11/21/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734309,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,12/15/2023,11/10/2023,Ship,,2000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/10/02WK,17,20;172,,0,4600,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,N,,3rd,,N,,Y,N,3rd,N,Y,,11/3/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85803291,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,6/1/2023,1/15/2024,12/11/2023,Ship,,1000,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,,,,,,,,,1,2023/12/04WK,28,20;175,,1,2300,,15:49.3,WOV0016099,Mens Trunk -Yarn Dyed,,N,,5th-2,,N,,N,N,5th-2,N,N,,12/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734307,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph1,1,5/30/2023,11/15/2023,10/11/2023,Ship,,2000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/08,6,20;170,,0,4600,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,Y,,1st,,N,,Y,Y,1st,N,Y,,10/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734308,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph2,1,5/30/2023,11/30/2023,10/26/2023,Ship,,2000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/09,11,20;171,,0,4600,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,N,,2nd,,N,,Y,N,2nd,N,Y,,10/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85748323,2024,SS,Sp,UNIQLO,UQTW,466749,Woven dotted trunks,10374H082C,Woven dotted trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,5/30/2023,1/15/2024,12/11/2023,Ship,,3300,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,,,,,,,,,1,2023/12/04WK,28,21;226,,0,7590,,23:27.3,WOV0010806,POPLIN,,N,,5th-2,,N,,N,N,5th-2,N,N,,12/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734378,2024,SS,Sp,UNIQLO,UQTW,466749,Woven dotted trunks,10374H082C,Woven dotted trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,5/15/2024,4/10/2024,Ship,,2000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/04/01WK,49,21;223,,0,4600,,23:31.3,WOV0010806,POPLIN,,,11th,12th,,,,,N,12th,N,Y,,4/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
